Brand;Price;Ram;CPU;GPU;Display;Storage
HP;19500;2;0,00;0,84;12,10;34,29
ASUS;144269;16;3553,24;0,00;46,75;2142,86
HP;32595;4;2718,60;0,00;32,40;274,29
Dell;159999;16;2801,79;13,62;32,40;548,57
Dell;48899;8;1226,04;0,00;25,99;466,67
Lenovo;109999;16;0,00;8,64;37,40;548,57
HP;107900;32;3966,33;0,00;25,99;4285,71
Acer;94900;16;4180,51;0,00;44,55;1097,14
MSI;236900;16;4681,43;0,00;43,99;17142,86
HP;43999;8;1810,09;2,64;11,53;137,14
HP;109900;24;3940,23;0,00;11,55;2142,86
Lenovo;147899;24;3541,15;0,00;32,40;8571,43
Lenovo;163999;16;4383,70;0,00;35,04;2142,86
HP;89900;16;4233,09;0,00;28,75;4285,71
HP;79900;16;4233,09;0,00;28,75;2142,86
ASUS;189999;32;4300,12;0,00;69,12;4285,71
HP;115000;16;4814,25;0,00;25,99;4285,71
MSI;511900;64;4084,38;0,00;69,12;17142,86
HP;97499;32;2884,33;0,00;11,28;4285,71
ASUS;53999;12;3059,80;0,00;28,75;548,57
Acer;104900;16;3577,85;0,00;28,75;2142,86
MSI;438999;64;4084,38;0,00;28,75;933,33
HP;244999;64;4151,80;0,00;25,99;933,33
Lenovo;72999;32;0,00;0,00;32,40;548,57
HP;170900;16;3540,62;0,00;28,75;1097,14
HP;328500;32;3279,53;0,00;11,28;16285,71
MSI;201999;32;4491,93;0,00;46,75;2142,86
LG;109900;16;4442,10;0,00;43,35;1097,14
Gigabyte;331400;16;4681,43;0,00;129,57;17142,86
Dell;95900;32;4003,89;0,00;11,28;2142,86
Acer;89900;16;3370,68;0,00;28,75;2142,86
ASUS;150999;32;4221,91;0,00;46,75;8571,43
HP;104900;16;3979,73;0,00;25,99;466,67
HP;205900;64;4814,25;0,00;25,99;8571,43
HP;165900;24;4814,25;0,00;25,99;4285,71
ASUS;51999;20;3279,53;0,00;12,68;466,67
ASUS;44900;4;2718,60;0,00;12,68;274,29
HP;89900;16;3924,67;0,00;28,75;1097,14
MSI;447900;64;4084,38;0,00;46,75;8571,43
MSI;217500;16;4491,93;0,00;46,75;1097,14
ASUS;59900;20;3279,53;0,00;12,68;1097,14
Acer;59900;16;2278,13;11,05;28,75;1097,14
ASUS;144900;16;5209,73;0,00;43,00;2142,86
MSI;396999;64;6043,23;0,00;48,14;8571,43
Lenovo;122999;8;3704,22;0,00;32,40;4285,71
Lenovo;130199;8;3370,68;0,00;32,40;1097,14
HP;67999;16;2253,44;11,05;28,75;1097,14
HP;71499;16;612,33;0,00;11,55;1097,14
HP;136900;16;4814,25;0,00;25,99;2142,86
HP;174900;32;4681,43;0,00;61,64;4285,71
ASUS;119900;24;4681,43;0,00;30,14;2142,86
Lenovo;36999;12;2227,80;9,37;12,68;1097,14
HP;129900;64;4233,09;0,00;28,75;2142,86
Lenovo;36597;20;408,69;11,05;11,28;274,29
