Name;Brand;Price;Ram;CPU;GPU;Display;Storage
Lenovo ThinkPad L15 Gen 1;Lenovo;456900;64;3035,951897;0;28,75459559;17142,85714
Lenovo IdeaPad 3i 15;Lenovo;93900;36;3279,528958;0;28,75459559;4285,714286
Lenovo IdeaPad 3i 15;Lenovo;75900;32;3801,171177;0;28,75459559;2142,857143
HP EliteBook 845 G10;HP;147623;16;0;0;35,03800676;548,5714286
HP EliteBook 865 G10;HP;159376;16;0;0;30,1392663;548,5714286
Acer Nitro 5;Acer;135999;32;4084,383139;0;46,75459559;466,6666667
Acer Nitro 5;Acer;134900;16;4300,124315;0;66,68834842;4285,714286
Lenovo IdeaPad 3 14;Lenovo;33999;4;3059,796176;0;13,20059122;274,2857143
HP 14;HP;32888;32;1995,100202;2,637128693;11,52745777;137,1428571
Lenovo IdeaPad 3i 14;Lenovo;57900;16;3801,171177;0;13,20059122;1097,142857
HP OMEN 17;HP;261900;32;5438,961012;0;61,64416586;8571,428571
HP 17;HP;92900;20;3279,528958;0;25,98752411;2142,857143
Lenovo Legion 5i Pro 16;Lenovo;200900;64;4681,425152;0;69,11684783;2142,857143
GIGABYTE AERO 16;Gigabyte;295400;32;4681,425152;0;129,5652174;8571,428571
HP OMEN 17;HP;246900;64;5139,135439;0;61,64416586;1097,142857
HP OMEN 17;HP;223900;16;5139,135439;0;61,64416586;1097,142857
HP OMEN 16;HP;217900;64;4681,425152;0;45,84613832;8571,428571
Dell Inspiron 3511;Dell;94900;32;2849,668235;0;28,75459559;2142,857143
HP Pavilion 15;HP;125900;32;4233,092812;35,83013859;28,75459559;4285,714286
HP 15;HP;134900;64;3279,528958;0;12,67922794;4285,714286
AORUS 17X;Aorus;420900;32;4681,425152;0;90,27323839;4285,714286
Dell Inspiron 5625;Dell;109900;16;3924,666866;0;30,1392663;2142,857143
HP ENVY 16;HP;226999;40;6008,136783;0;59,47399068;8571,428571
Acer Aspire 3;Acer;68999;16;2797,348377;7,307845952;28,75459559;2142,857143
HP ENVY 16;HP;199900;64;5209,731613;0;59,47399068;2142,857143
Lenovo ThinkBook 13x Gen 2;Lenovo;124900;16;3979,729698;0;59,75997046;1097,142857
ASUS ROG Strix G16;ASUS;212900;24;5157,914468;0;52,6392663;4285,714286
AORUS 15;Aorus;368900;16;4681,425152;0;66,68834842;8571,428571
